user_id,customer_id,free_signup_date,first_paid_date,conversion_within_14_days,conversion_within_30_days,conversion_within_90_days,last_churn_date,first_billing_cycle,first_price,subscription_duration_days,days_since_signup,days_to_first_paid,days_to_churn,lifecycle_status,is_paid_subscriber,unique_free_editions_delivered_14d,unique_free_editions_opened_14d,open_rate_free_editions_14d,unique_paid_editions_viewed_14d,multi_free_newsletter_engagement_flag_30d,multi_paid_exploration_flag_14d,email_nl_progression_pattern_30d,email_nl_expansion_timing_days_30d,max_weekly_email_nl_diversity_30d,high_email_nl_diversity_flag_30d,free_to_paid_transition_signal_30d,unique_free_editions_delivered_30d,free_editions_total_opens_30d,paid_editions_total_views_30d,open_rate_free_editions_30d,free_content_active_days_30d,free_content_consistency_score_30d,free_content_frequency_score_30d,unique_editions_opened_per_active_day_30d,avg_days_between_free_opens_30d,median_days_between_free_opens_30d,avg_hours_to_open_email_30d,free_email_engagement_span_days_30d,free_email_engagement_velocity_30d,journey_progression_score_30d,consistent_free_email_habit_30d,unique_free_newsletters_30d,unique_free_editions_30d,unique_paid_newsletters_explored_30d,unique_paid_editions_explored_30d,total_unique_newsletters_30d,total_unique_editions_30d,repeat_rate_free_opens_30d,free_content_entropy_30d,paid_exploration_concentration_30d,avg_opens_per_edition_30d,unique_free_editions_opened_30d,unique_paid_editions_viewed_30d,free_content_edition_diversity_30d
user_64816,customer_67813,2025-03-06,2022-01-17,1,1,1,,Monthly,6.0,288,146,-1144,288,free,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_64657,customer_3404,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,0,30,0,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_64788,customer_3251,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,0,30,0,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_2904,customer_3406,2025-03-06,,0,0,0,,,,,146,,,free,false,13,0,0.0,0,0,0,0,30,0,0,0,25,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_64651,customer_3398,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,0,30,0,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_64646,customer_3389,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,1,30,1,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0,1,0,0
user_64959,customer_3129,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,0,30,0,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_2917,customer_3377,2025-03-06,,0,0,0,,,,,146,,,free,false,13,0,0.0,0,0,0,0,30,0,0,0,25,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_64644,customer_3390,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,0,30,0,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_64822,customer_3241,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,0,30,0,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_64665,customer_3379,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,1,30,1,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0,1,0,0
user_64687,customer_3373,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,0,30,0,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_2017,customer_3131,2025-03-06,,0,0,0,,,,,146,,,free,false,13,0,0.0,0,0,0,0,30,0,0,0,25,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_64930,customer_3130,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,0,30,0,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_64655,customer_3392,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,0,30,0,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_64653,customer_3387,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,0,30,0,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_64968,customer_3120,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,0,30,0,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
user_64962,customer_3123,2025-03-06,,0,0,0,,,,,146,,,free,false,2,0,0.0,0,0,0,0,30,0,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
